Category,Subcategory,Question_Text,Correct_Answer,Incorrect_Options,Notes,Difficulty
Sports,Football,Which city is known as the mecca of Football,Liverpool,"Kolkata, Lisbon , Rio de Janeiro , Beunos Aires",Home of Liverpool FC,Medium
General Knowledge,Cities,Which city recieves the largest rainfall in the world,Mawsynram,"Cherrapunjee, Jaffna, Djakarta , Phnom Penh","Mawsynram is in Meghalaya State, India",Medium
Sports,Basketball,Which country invented the sport of Basketball,USA,"China, England, Brazil, Denmark",,Medium
Music,Guitar,How many strings are present on an acoustic guitar,6,"1,5,9,4",,Low
Technology,Computer Science,How many bytes are present in a kilobyte,1024,"100, 1000, 4096, 10",,Medium
History,India,Who was the first president of India,Rajendra Prasad,"Shyam Prasad Mukherjee, Jawaharlal Nehru, Mahatma Gandhi, Zail Singh",,Medium
General Knowledge,Science,Which is the most abundant element in the earths atmosphere,Nitrogen,"Oxygen, Carbon-di-oxide,Helium, Hydrogen",78%,Medium
General Knowledge,Science,Which is the most abundant element in the universe,Hydrogen,"Phosporous, Nitrogen, Carbon, Boron",75%,Medium
General Knowledge,Discovery,Who discovered Radium ,Marie Curie,"Albert Einstein, Lebneitz, Nikolai Tesla, C.V. Raman",,Low
General Knowledge,Invention,Who invented the telephone,Alexander Graham Bell,"Nikolai Tesla, Charles Faraday, Marconi, James Watt",,Medium
General Knowledge,Books,Who wrote the novel 'A Suitable Boy',Vikram Seth,"Paul coelho, Anita Desai, Salman Rushdie, James Hadley Chase",,Medium
General Knowledge,Medicine,What is the clinical term for a heart attack,Myocardial Infarction,"Sepsis, Atherosclerosis, Arrhythmia, Brachycardia",,High
General Knowledge,Food,Scale / unit for measurement of spiciness of chili peppers and other substances,Scoville,"Celsius, Richter , Psi , Lumen",,Medium
General Knowledge,India,What does C.B.S.E stand for ?,Central Board of Secondary Education,"Central Bureau of Seconday Exams, Control Body Systems International, Conscious Breakdown of Scholastic Endeavour, Corporate Body of Simulation Experience",,Medium
General Knowledge,Countries,What is the capital of Spain ?,Madrid,"Lisbon, Barcelona,Malaga, Leon",,Low
General Knowledge,Science,What is the scientific name of the Banyan Tree ?,Ficus bengalensis,"Corvus Splendens, Banyanis Templis, Figma Sattiva, Le Banyan",,Low
General Knowledge,India,Who is the Governor of RBI,Sanjay Malhotra,"Raghuram Rajan, Manoj Bajpai, Promila Thapar, ",,High
